name,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,xG,xA,predicted_points,team_a
ream,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
reed,4.7,8,0.5,71,0,0,0,0.14,0.09,8.82,
robinson,5.0,98,3.5,2538,0,10,5,0.7,3.4,91.62,
stansfield,5.0,1,0.0,1,0,0,0,0.0,0.0,3.9237786938038095,
tete,4.4,37,0.0,1262,0,2,2,1.02,0.44,33.56,
vinicius,5.0,1,0.0,3,0,0,0,0.06,0.0,0.9825,
wilson,5.2,63,0.0,829,5,2,2,3.29,0.94,68.19,
sessegnon,4.1,20,4.0,92,2,0,0,0.54,0.35,25.43,
j.cuenca,4.4,6,0.0,168,0,0,0,0.0,0.0,3.9237786938038095,
king,4.4,7,0.0,78,0,0,1,0.2,0.65,11.806666666666668,
